tagnum,Northing,Easting,elevation,precision
230960,4859056.627,653450.0644,103.4160714,20CM
230966,4859068.776,653419.0422,103.7437933,20CM
230984,4859015.075,653481.2954,102.7407525,20CM
230990,4859061.039,653422.165,103.6091407,20CM
231003,4859019.253,653474.9684,102.9328504,20CM
231020,4859068.346,653419.2076,103.7168408,20CM
231029,4859068.833,653419.2972,103.7292439,20CM
231041,4859004.833,653501.4727,102.5750663,1M
231042,4859067.734,653419.6446,103.7221989,20CM
231044,4859067.546,653419.8845,103.7167466,20CM
231053,4859045.293,653464.7319,102.73759,1M
231057,4859018.52,653476.3151,102.9654664,20CM
231062,4859053.443,653455.3704,103.5892496,20CM
231067,4859054.591,653442.2807,103.5724654,20CM
231078,4859066.682,653419.5263,103.8080199,20CM
231084,4859065.143,653419.8403,103.6642749,20CM
231126,4859064.171,653420.7331,103.5440091,20CM
231130,4859060.925,653425.1393,103.3383108,20CM
231131,4859066.657,653420.6531,103.6538893,20CM
231133,4859008.754,653489.8069,102.5879434,20CM
231134,4859066.724,653420.2939,103.6656261,20CM
231136,4859038.581,653465.5757,103.042633,20CM
231139,4859051.662,653462.4921,102.9502047,20CM
231157,4859056.643,653424.8525,103.4770596,20CM
231163,4859059.284,653428.6301,103.5303436,20CM
231170,4859055.834,653450.9237,103.4918047,20CM
231173,4859056.546,653452.6208,103.214298,20CM
231179,4859058.23,653422.7275,103.6663308,20CM
231192,4859058.418,653422.9705,103.6780071,20CM
231193,4859058.828,653423.0285,103.6476555,20CM
231196,4859066.909,653419.3135,103.7915284,20CM
231199,4859043.085,653463.1948,103.0796235,1M
231204,4859010.603,653487.7113,102.7094336,1M
231205,4859031.887,653470.4509,103.3340278,20CM
231206,4859067.157,653420.0752,103.7092409,20CM
231209,4859059.315,653428.2954,103.4603838,20CM
231210,4859061.276,653422.8837,103.615843,20CM
231211,4859059.592,653428.3283,103.5030546,20CM
231212,4859011.408,653486.7783,102.7524742,20CM
231213,4859046.286,653463.1762,103.0281602,20CM
231217,4859050.862,653462.697,102.8507319,20CM
231224,4859059.5,653422.4554,103.7096845,20CM
231228,4859014.609,653482.2197,102.736151,20CM
231237,4859056.175,653449.4356,103.4153012,20CM
231240,4859058.555,653422.6616,103.6527479,20CM
231241,4859055.11,653444.7105,103.5661552,20CM
231247,4859050.217,653461.8547,103.3510539,1M
231255,4859024.452,653473.5581,103.0058474,20CM
231259,4859060.707,653422.5881,103.6062961,20CM
231260,4859066.019,653421.5949,103.6604131,20CM
231262,4859063.76,653422.4744,103.6030462,20CM
231264,4859061.584,653425.3843,103.301858,20CM
231269,4859009.41,653506.1157,102.3664854,20CM
231280,4859065.591,653420.9171,103.6710018,20CM
231282,4859011.577,653482.9542,102.5194428,20CM
231283,4859056.175,653448.4502,103.4112174,20CM
231286,4859068.784,653420.0403,103.690303,20CM
231292,4859059.469,653427.8294,103.3821059,20CM
231295,4859052.556,653441.7625,103.4307002,20CM
231302,4859056.948,653431.9009,103.699219,20CM
231311,4859056.745,653449.2773,103.3892969,20CM
231314,4859057.052,653432.8242,103.7798012,1M
231320,4859068.364,653418.4745,103.7577718,20CM
231329,4859067.488,653418.9967,103.7964147,20CM
231338,4859067.848,653419.0415,103.7955207,20CM
231339,4859064.796,653421.4949,103.6452672,20CM
231344,4859066.519,653419.7757,103.7624352,20CM
231354,4859061.217,653423.4943,103.5754196,20CM
231376,4859057.554,653458.0418,103.1849294,20CM
231377,4859059.938,653427.9487,103.4198372,20CM
231381,4859056.256,653453.2247,103.1888834,20CM
231382,4859012.752,653482.2738,102.6444774,20CM
231383,4859057.128,653433.614,103.8078995,20CM
231385,4859018.123,653475.6981,102.8349782,1M
231386,4859056.075,653450.0287,103.4017499,20CM
231391,4859057.946,653430.6088,103.7819451,20CM
231396,4859063.313,653422.0585,103.5781804,20CM
231406,4859019.044,653477.8024,102.9732668,20CM
231409,4859064.881,653421.2763,103.6501702,20CM
231410,4859047.346,653462.3639,103.4510097,1M
231412,4859068.374,653420.524,103.6751863,20CM
231413,4859057.336,653424.4971,103.6272708,20CM
231423,4859054.809,653454.8314,103.4103116,20CM
231426,4859021.67,653475.2479,102.9944163,20CM
231427,4859065.196,653421.1563,103.7070248,20CM
231433,4859009.574,653488.773,102.6821591,1M
231435,4859057.509,653454.4757,103.0277114,20CM
231440,4859058.222,653428.1543,103.2983756,20CM
231444,4859044.098,653463.5444,103.1213855,1M
231446,4859040.265,653463.6906,103.0562039,20CM
231453,4859021.986,653472.914,103.0128309,20CM
231460,4859068.317,653419.5031,103.7312267,20CM
231465,4859034.763,653466.3332,102.9699629,20CM
231469,4859056.195,653431.5593,103.5035142,20CM
231481,4859035.493,653466.382,103.1476469,20CM
231483,4859060.279,653426.4976,103.2937442,20CM
231495,4859067.19,653419.4867,103.7920447,20CM
231505,4859046.394,653462.5582,103.3228649,1M
231509,4859045.956,653463.3703,102.9865526,20CM
231513,4859054.991,653446.0597,103.5436018,20CM
231525,4859046.577,653463.7662,102.9239659,20CM
231526,4859054.91,653435.0459,103.3852529,20CM
231542,4859055.087,653456.5869,103.2072265,20CM
231543,4859033.119,653468.679,103.3085135,20CM
231550,4859052.152,653460.9192,103.1557589,1M
231559,4859033.405,653470.3696,103.3990265,20CM
231566,4859067.481,653421.0072,103.7267377,20CM
231568,4859035.375,653467.9231,103.2938113,20CM
231571,4859054.606,653450.5724,103.4750168,20CM
231578,4859057.756,653443.3838,103.5797341,20CM
231584,4859065.433,653420.2265,103.6978068,20CM
231585,4859066.63,653421.0697,103.6331999,20CM
231589,4859069.094,653419.608,103.7098233,20CM
231590,4859007.965,653494.6767,102.4582905,20CM
231596,4859066.981,653420.318,103.7183659,20CM
231598,4859055.104,653443.7391,103.5609414,20CM
231602,4859045.503,653464.0533,102.8748449,1M
231605,4859019.262,653477.8786,102.9833749,1M
231607,4859055.919,653451.3137,103.4601888,20CM
231612,4859055.906,653456.3829,103.0460029,20CM
231614,4859054.791,653445.3276,103.4911836,20CM
231621,4859063.645,653421.3967,103.5314883,20CM
231622,4859057.064,653449.7176,103.3620122,20CM
231623,4859026.904,653473.7757,103.0835203,20CM
231632,4859014.77,653482.2571,102.7359268,20CM
231639,4859039.733,653467.13,103.0570034,20CM
231645,4859059.535,653427.9808,103.4005078,20CM
231646,4859066.921,653421.2609,103.7174508,20CM
231648,4859067.054,653421.8265,103.7338497,20CM
231750,4859049.374,653463.0142,103.0046367,1M
231764,4859053.836,653460.4621,103.1216827,20CM
231767,4859056.38,653445.0516,103.6083279,20CM
231773,4859065.708,653421.4198,103.7629725,20CM
231777,4859062.13,653422.0455,103.5242611,20CM
231792,4859012.592,653482.6827,102.6683295,20CM
231799,4859067.579,653420.5239,103.6563991,20CM
231800,4859056.591,653449.89,103.4116592,20CM
231801,4859058.306,653455.1575,103.2318308,20CM
231803,4859065.705,653420.5659,103.7086669,20CM
231805,4859060.442,653423.1833,103.5935181,20CM
231809,4859063.387,653422.3785,103.5760782,20CM
231810,4859052.262,653441.0254,103.3203922,20CM
231815,4859054.128,653442.0685,103.5356977,20CM
231821,4859067.297,653421.0558,103.7279448,20CM
231822,4859044.763,653464.5927,102.7438915,1M
231826,4859048.251,653463.2853,103.0844264,1M
231829,4859053.88,653444.2919,103.5766673,20CM
231831,4859057.521,653446.6747,103.5029842,20CM
231838,4859054.326,653435.6847,103.2595995,1M
231843,4859058.991,653428.5179,103.4919472,20CM
231847,4859059.949,653427.2556,103.3715715,20CM
231848,4859057.135,653446.6154,103.5534615,20CM
231849,4859054.982,653445.0308,103.516435,20CM
231855,4859061.352,653422.4479,103.5697242,20CM
231858,4859066.921,653419.7208,103.7715703,20CM
231859,4859056.716,653445.3657,103.589058,20CM
231862,4859068.03,653418.6736,103.7701147,20CM
231869,4859055.22,653445.9603,103.5830072,20CM
231870,4859055.464,653449.4901,103.5079111,20CM
231871,4859061.772,653423.2642,103.5019864,20CM
231874,4859054.718,653434.7688,103.3356435,20CM
231876,4859053.867,653456.4363,103.5020997,20CM
231880,4859054.889,653447.8367,103.5801704,20CM
231884,4859055.594,653446.8583,103.4992275,20CM
231886,4859054.645,653432.8943,103.3034874,20CM
231894,4859055.074,653448.4449,103.5339427,20CM
231895,4859067.751,653419.3568,103.7529752,20CM
231907,4859064.52,653420.7457,103.5644889,20CM
231908,4859063.733,653421.8619,103.6046002,20CM
231909,4859069.245,653419.7984,103.6978076,20CM
231915,4859068.334,653419.8494,103.6972214,20CM
231921,4859066.008,653420.8279,103.6907027,20CM
231924,4859060.967,653423.2748,103.5841703,20CM
231926,4859065.941,653420.0243,103.8094457,20CM
231927,4859031.544,653470.7366,103.3598752,20CM
231933,4859047.536,653464.0623,102.8770005,1M
231936,4859054.371,653441.9304,103.5557377,20CM
231944,4859054.776,653443.9564,103.5977645,20CM
231434,4859056.884,653450.177,103.4021698,20CM
230542,4860984.242,652178.1068,134.4815189,1M
230550,4860986.1,652176.3951,134.8408479,1M
230561,4861010.888,652171.8986,134.6544406,20CM
230607,4860978.1,652174.3816,134.8643768,20CM
230637,4860976.901,652170.257,134.9365841,20CM
230639,4860977.717,652173.6865,134.9245659,20CM
230648,4860979.9,652177.2528,134.6044157,20CM
230666,4860987.714,652176.4008,134.6962797,1M
230718,4861001.89,652171.1478,134.6006825,20CM
230750,4860990.974,652176.9926,134.3890928,20CM
230821,4860973.154,652167.7905,134.8762044,20CM
230873,4860976.942,652174.2404,134.8755624,20CM
230965,4860997.511,652173.468,134.4198908,20CM
230967,4860976.961,652172.5922,134.9726566,20CM
230973,4860985.28,652178.8096,134.3326482,1M
230976,4860985.567,652177.847,134.5168866,1M
230977,4860977.719,652174.5659,134.8222495,20CM
230994,4860979.816,652174.8295,134.9314042,20CM
230995,4861002.678,652172.4095,134.5480114,1M
230998,4860978.7,652176.0553,134.5892552,20CM
231004,4860963.386,652149.4231,135.1961894,1M
231006,4861017.477,652172.5075,134.6447044,20CM
231014,4860985.169,652176.3829,134.8948625,1M
231015,4860983.963,652176.5757,134.9078137,1M
231034,4861001.26,652175.1652,133.9375001,1M
231043,4860983.259,652175.243,134.9914628,20CM
231056,4860976.334,652174.4927,134.8317192,20CM
231058,4860977.215,652173.9339,134.8969141,20CM
231059,4860980.679,652175.2452,134.8772098,20CM
231060,4860978.48,652174.878,134.8916738,20CM
231063,4860979.809,652172.3729,134.9781534,20CM
231064,4860999.18,652174.4775,134.3462927,1M
231070,4860977.188,652169.2546,134.9452148,20CM
231073,4860981.16,652177.0711,134.7002247,20CM
231077,4861011.116,652169.3933,134.2144039,20CM
231081,4860983.044,652175.6241,135.0044881,20CM
231086,4861003.319,652172.0604,134.5323169,1M
231088,4860987.781,652176.9742,134.6499221,1M
231094,4860978.993,652175.3921,134.7165642,20CM
231096,4860986.135,652178.0288,134.4074873,1M
231097,4860975.318,652171.6439,135.0420179,1M
231103,4860977.916,652174.2299,134.8874704,20CM
231107,4860980.114,652171.508,135.0886316,20CM
231110,4860978.526,652173.5764,134.9273783,20CM
231114,4860985.166,652177.0497,134.7656372,20CM
231115,4861002.971,652170.5694,134.6036032,1M
231116,4860978.528,652171.2954,135.0376334,20CM
231118,4860978.781,652174.4543,134.9197651,20CM
231119,4860984.107,652176.3848,134.9512259,1M
231151,4860991.711,652177.4054,134.3544993,20CM
231154,4860999.467,652174.1995,134.3573661,1M
231155,4860999.641,652175.4227,134.0159313,1M
231159,4860972.888,652169.6327,135.1595646,20CM
231653,4860981.567,652176.614,134.7585956,20CM
231654,4860978.776,652172.9166,134.9591941,20CM
231656,4860984.306,652175.3898,135.0114531,1M
231666,4860978.688,652172.2664,134.9277377,20CM
231667,4860979.32,652172.3954,134.9759228,20CM
231668,4860979.482,652175.2448,134.8171428,20CM
231671,4860982.653,652177.5785,134.6849025,20CM
231673,4860978.527,652174.1215,134.9490573,20CM
231677,4860981.143,652175.4503,134.9141064,20CM
231678,4860977.098,652173.3152,134.9525043,20CM
231683,4860985.874,652174.8975,135.1900864,1M
231684,4860979.24,652175.5675,134.7579301,20CM
231685,4860979.84,652175.2198,134.9022459,20CM
231686,4860976.479,652170.6281,134.9252692,20CM
231688,4860978.819,652175.0067,134.8512096,20CM
231689,4860977.902,652173.3428,134.9287301,20CM
231691,4860976.936,652173.631,134.9147303,20CM
231692,4860982.884,652177.0679,134.817412,20CM
231700,4860977.87,652172.8166,134.9941245,20CM
231702,4860983.458,652177.8576,134.5354947,20CM
231705,4860978.328,652174.3154,134.9437634,20CM
231708,4860979.067,652170.709,135.0073648,20CM
231709,4860977.601,652174.2687,134.8538242,20CM
231710,4860979.411,652175.7042,134.7722437,20CM
231711,4860982.664,652175.7434,134.9103778,20CM
231712,4860980.592,652175.462,134.876445,20CM
231713,4860979.16,652173.618,134.9603726,20CM
231715,4860977.103,652168.9054,134.9641334,20CM
231716,4860978.121,652170.9312,135.0055824,20CM
231717,4860978.056,652174.6566,134.8399483,20CM
231719,4860982.482,652176.1116,134.9328089,20CM
231727,4860982.083,652176.4632,134.8146373,20CM
231728,4860981.045,652173.3197,135.0320935,20CM
231732,4860978.087,652175.2326,134.7323932,20CM
231738,4860978.885,652176.2525,134.6338975,20CM
231740,4860982.361,652176.3803,134.8811259,20CM
231743,4860977.371,652174.3661,134.8507724,20CM
231744,4860982.795,652176.0109,134.9243816,20CM
231746,4860976.742,652172.7493,134.9677492,20CM
231747,4860976.258,652168.8616,134.9146951,20CM
231748,4860986.893,652176.8709,134.7295211,1M
231749,4860979.297,652176.4707,134.624739,20CM
231953,4860977.585,652173.0769,134.9526579,20CM
231955,4860976.072,652172.3981,134.9500702,20CM
231956,4860975.605,652169.1058,134.8186867,20CM
231960,4860976.704,652173.2647,134.9540328,20CM
231963,4860979.163,652174.0998,134.9005467,20CM
231966,4860976.284,652168.3688,134.971519,20CM
231967,4860975.928,652171.0977,134.9824648,20CM
231971,4860972.514,652167.0195,134.9341409,20CM
231972,4860986.778,652177.726,134.4186987,1M
231973,4860980.591,652176.4325,134.7109825,20CM
231975,4860979.605,652170.5318,135.0524722,20CM
231978,4860977.787,652173.5896,134.9284376,20CM
231979,4860980.894,652174.977,134.8848321,20CM
231980,4860978.086,652171.7806,134.9402545,20CM
231982,4860982.619,652176.7654,134.8341365,20CM
231984,4860975.729,652166.7728,134.8873773,20CM
231986,4860978.812,652170.2419,134.9645617,20CM
231987,4860981.504,652177.1909,134.6855235,20CM
231989,4860983.855,652177.452,134.678367,20CM
231993,4860975.204,652169.0015,134.8093662,20CM
231994,4860977.478,652174.5345,134.8103034,20CM
231995,4860979.091,652175.1337,134.923655,20CM
231996,4860977.703,652172.6946,134.9727044,20CM
231998,4860979.946,652175.977,134.762771,20CM
231999,4860974.443,652167.1509,134.8744351,20CM
231722,4860982.498,652175.102,134.9981418,20CM
